topic,url,predicted_class,predicted_scores
Water Purification,https://en.wikipedia.org/wiki/Water_purification,B,"{'B': 0.6820943728048339, 'C': 0.20633737808636635, 'FA': 0.0633987376533918, 'GA': 0.03687339887756051, 'Start': 0.008220480663980697, 'Stub': 0.0030756319138668465}"
Brain Waves,https://en.wikipedia.org/wiki/Neural_oscillation,B,"{'B': 0.3537130879042666, 'C': 0.08771028419652716, 'FA': 0.2535489168399499, 'GA': 0.28680802566492125, 'Start': 0.013238941463546181, 'Stub': 0.004980743930788928}"
Chemical Fertilizer,https://en.wikipedia.org/wiki/Fertilizer,GA,"{'B': 0.09151393015081545, 'C': 0.02698373740356139, 'FA': 0.3636555047111118, 'GA': 0.5048038909084496, 'Start': 0.009425597652306026, 'Stub': 0.0036173391737557947}"
Psychiatric Nursing,https://en.wikipedia.org/wiki/Mental_health_nursing,B,"{'B': 0.5371504799366214, 'C': 0.3546584481501515, 'FA': 0.04663531494712392, 'GA': 0.049096056307470264, 'Start': 0.009001825290360775, 'Stub': 0.0034578753682723315}"
X Ray Diffraction,https://en.wikipedia.org/wiki/X-ray_diffraction,GA,"{'B': 0.21378467206450205, 'C': 0.15715584040025649, 'FA': 0.19917114315343162, 'GA': 0.41337076683285573, 'Start': 0.012261416034904585, 'Stub': 0.004256161514049651}"
Hairy Cell Leukemia,https://en.wikipedia.org/wiki/Hairy_cell_leukemia,B,"{'B': 0.4803563972556098, 'C': 0.19658597119186108, 'FA': 0.183199479133905, 'GA': 0.12247682001063782, 'Start': 0.012515833624551003, 'Stub': 0.004865498783435366}"
Tertiary Prevention,https://en.wikipedia.org/wiki/Preventive_healthcare,B,"{'B': 0.5612776282347769, 'C': 0.20097680397306109, 'FA': 0.1232011317452591, 'GA': 0.09903155523249751, 'Start': 0.011670432245004175, 'Stub': 0.003842448569401307}"
Medicinal Plant,https://en.wikipedia.org/wiki/Medicinal_plants,B,"{'B': 0.5192631901127782, 'C': 0.06200392218789872, 'FA': 0.18396230521803095, 'GA': 0.22072621933768, 'Start': 0.010248103586465754, 'Stub': 0.0037962595571464164}"
Reticular Activating System,https://en.wikipedia.org/wiki/Reticular_formation,B,"{'B': 0.3598717065686733, 'C': 0.1575316012338458, 'FA': 0.2969295022929468, 'GA': 0.1656880422272078, 'Start': 0.015322654667640866, 'Stub': 0.004656493009685532}"
Horizontal Gene Transfer,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,B,"{'B': 0.7048527802765867, 'C': 0.13359934963718817, 'FA': 0.04742120581781861, 'GA': 0.09991445698564509, 'Start': 0.010748603058878614, 'Stub': 0.0034636042238827863}"
Endochondral Ossification,https://en.wikipedia.org/wiki/Endochondral_ossification,GA,"{'B': 0.19298420281070558, 'C': 0.10158994896809687, 'FA': 0.009455398636825941, 'GA': 0.6704465840639424, 'Start': 0.021135697260086416, 'Stub': 0.004388168260342882}"
Cerebral Amyloid Angiopathy,https://en.wikipedia.org/wiki/Cerebral_amyloid_angiopathy,GA,"{'B': 0.15788693001775564, 'C': 0.1858109718210327, 'FA': 0.06009831154184079, 'GA': 0.5679467729660802, 'Start': 0.023985628554963185, 'Stub': 0.004271385098327493}"
Enzyme,https://en.wikipedia.org/wiki/Enzyme,FA,"{'B': 0.0291602248866164, 'C': 0.013570716808149903, 'FA': 0.7554596392308425, 'GA': 0.19459192044544696, 'Start': 0.00517449895028167, 'Stub': 0.002042999678662621}"
Essential Tremor,https://en.wikipedia.org/wiki/Essential_tremor,FA,"{'B': 0.04295773675650621, 'C': 0.01729601438886652, 'FA': 0.6753111316008611, 'GA': 0.2555715860822824, 'Start': 0.0063377631241372315, 'Stub': 0.002525768047346492}"
Glycolysis,https://en.wikipedia.org/wiki/Glycolysis,B,"{'B': 0.5292994305565394, 'C': 0.18958622050190302, 'FA': 0.16566170883295353, 'GA': 0.0992540528196936, 'Start': 0.011804004058369474, 'Stub': 0.004394583230540933}"
Cryopreservation,https://en.wikipedia.org/wiki/Cryopreservation,B,"{'B': 0.5769681083230761, 'C': 0.261208158439154, 'FA': 0.06129774563223278, 'GA': 0.08624541682315695, 'Start': 0.010529498525657953, 'Stub': 0.0037510722567221876}"
Pathophysiology of Asthma,https://en.wikipedia.org/wiki/Pathophysiology_of_asthma,FA,"{'B': 0.0788315344891303, 'C': 0.03129748403068653, 'FA': 0.5303054793934856, 'GA': 0.3498707361098477, 'Start': 0.006935677857858878, 'Stub': 0.0027590881189911076}"
Condensed Milk,https://en.wikipedia.org/wiki/Condensed_milk,GA,"{'B': 0.11837955467326712, 'C': 0.13830499810126715, 'FA': 0.07067727003102127, 'GA': 0.6494362992278733, 'Start': 0.01928197265058503, 'Stub': 0.003919905315986188}"
Human Nutrition,https://en.wikipedia.org/wiki/Human_nutrition,B,"{'B': 0.5245879168771101, 'C': 0.08716444308751965, 'FA': 0.037494654494946315, 'GA': 0.3416001532647833, 'Start': 0.006634921260178909, 'Stub': 0.0025179110154617823}"
Polystyrene,https://en.wikipedia.org/wiki/Polystyrene,B,"{'B': 0.4898362729311984, 'C': 0.24759993254619617, 'FA': 0.1323417020516355, 'GA': 0.11340026871466803, 'Start': 0.01270048647859411, 'Stub': 0.004121337277707678}"
Atom-Transfer Radical-Polymerization,https://en.wikipedia.org/wiki/Atom_transfer_radical_polymerization,B,"{'B': 0.461383098824502, 'C': 0.25221131204271835, 'FA': 0.06149599360534988, 'GA': 0.2056226017545219, 'Start': 0.014752627734785683, 'Stub': 0.004534366038122236}"
Electronegativity,https://en.wikipedia.org/wiki/Electronegativity,FA,"{'B': 0.2334110431453503, 'C': 0.1422433634789559, 'FA': 0.3576669605042104, 'GA': 0.24852094975507943, 'Start': 0.013283511881253112, 'Stub': 0.004874171235151226}"
First Law of Thermodynamics,https://en.wikipedia.org/wiki/First_law_of_thermodynamics,B,"{'B': 0.3174042224258051, 'C': 0.3100206594637724, 'FA': 0.18489353902389252, 'GA': 0.15534211266614703, 'Start': 0.024136462196523316, 'Stub': 0.008203004223859578}"
Polyunsaturated Fatty Acid,https://en.wikipedia.org/wiki/Polyunsaturated_fat,GA,"{'B': 0.234817019277881, 'C': 0.23905698079565948, 'FA': 0.07510864766096076, 'GA': 0.4288064339275773, 'Start': 0.017728395756488897, 'Stub': 0.004482522581432636}"
Natural Disaster,https://en.wikipedia.org/wiki/Natural_disaster,B,"{'B': 0.5317888562232199, 'C': 0.2808462608481089, 'FA': 0.0551116109010695, 'GA': 0.12059920555111527, 'Start': 0.008549304365289272, 'Stub': 0.0031047621111972242}"
Epitaxy,https://en.wikipedia.org/wiki/Epitaxy,B,"{'B': 0.40616800434768585, 'C': 0.40368176040141523, 'FA': 0.07600032900191586, 'GA': 0.09969101111079448, 'Start': 0.010240216375575597, 'Stub': 0.004218678762612993}"
Experimental Design,https://en.wikipedia.org/wiki/Design_of_experiments,GA,"{'B': 0.24975155678328326, 'C': 0.13024981953937056, 'FA': 0.25257818581477337, 'GA': 0.3483346003663412, 'Start': 0.013604061670919253, 'Stub': 0.005481775825312299}"
Thermogravimetric Analysis,https://en.wikipedia.org/wiki/Thermogravimetric_analysis,GA,"{'B': 0.23769766006689663, 'C': 0.298315538887453, 'FA': 0.021442912178755286, 'GA': 0.41101499461879126, 'Start': 0.026956936685551224, 'Stub': 0.0045719575625527385}"
Natural Fiber,https://en.wikipedia.org/wiki/Natural_fiber,B,"{'B': 0.45691476358366956, 'C': 0.2941078910628398, 'FA': 0.10887815390066845, 'GA': 0.1254718607340426, 'Start': 0.010687920097771196, 'Stub': 0.003939410621008283}"
Three-Way Handshake,https://en.wikipedia.org/wiki/Transmission_Control_Protocol,B,"{'B': 0.5107961758196877, 'C': 0.23893003155182002, 'FA': 0.15305525307744597, 'GA': 0.0844595485774061, 'Start': 0.00949524105042715, 'Stub': 0.0032637499232130566}"
Central Processing Unit,https://en.wikipedia.org/wiki/Central_processing_unit,FA,"{'B': 0.14171767491327175, 'C': 0.046747546618262505, 'FA': 0.5793128826019506, 'GA': 0.21627848886670298, 'Start': 0.011741712356772375, 'Stub': 0.004201694643039765}"
Stellar Kinematics,https://en.wikipedia.org/wiki/Stellar_kinematics,FA,"{'B': 0.06974617895716538, 'C': 0.03821246084187094, 'FA': 0.6399960144806227, 'GA': 0.23818900573449292, 'Start': 0.01002603263915169, 'Stub': 0.0038303073466964613}"
Boltzmann Distribution,https://en.wikipedia.org/wiki/Boltzmann_distribution,GA,"{'B': 0.23564247294977259, 'C': 0.3142916158455315, 'FA': 0.07671538858569894, 'GA': 0.33743235731497717, 'Start': 0.029397459564021122, 'Stub': 0.006520705739998814}"
Behavioral Economics,https://en.wikipedia.org/wiki/Behavioral_economics,B,"{'B': 0.44507952798919953, 'C': 0.17988544063793863, 'FA': 0.11554227047140292, 'GA': 0.2407486304581504, 'Start': 0.013639761487107768, 'Stub': 0.0051043689562009}"
Economic Globalization,https://en.wikipedia.org/wiki/Economic_globalization,B,"{'B': 0.727023467237004, 'C': 0.06361013403043561, 'FA': 0.08281250632864781, 'GA': 0.11347762718886462, 'Start': 0.009716159395048688, 'Stub': 0.003360105819999527}"
Self Awareness,https://en.wikipedia.org/wiki/Self-awareness,GA,"{'B': 0.2115375917396265, 'C': 0.08460355177595484, 'FA': 0.21865476284432295, 'GA': 0.4665796196690922, 'Start': 0.013377879371664346, 'Stub': 0.005246594599339103}"
Narcissism,https://en.wikipedia.org/wiki/Narcissism,B,"{'B': 0.5742826687473037, 'C': 0.28909178685530945, 'FA': 0.04398752425088775, 'GA': 0.07470079370965922, 'Start': 0.013396424465561286, 'Stub': 0.004540801971278477}"
Criminal Justice System,https://en.wikipedia.org/wiki/Criminal_justice,B,"{'B': 0.488708466399837, 'C': 0.405860628989226, 'FA': 0.049817733661165056, 'GA': 0.038174379439135486, 'Start': 0.014057155622634305, 'Stub': 0.0033816358880021657}"
Structuralism,https://en.wikipedia.org/wiki/Structuralism,B,"{'B': 0.4468802915453844, 'C': 0.3925108424639365, 'FA': 0.07270501865242296, 'GA': 0.04640080059928492, 'Start': 0.03496113265290191, 'Stub': 0.006541914086069368}"
Imperialism,https://en.wikipedia.org/wiki/Imperialism,B,"{'B': 0.6901783620018024, 'C': 0.05620103492943522, 'FA': 0.1024842654937578, 'GA': 0.14100640437522435, 'Start': 0.00732415752216735, 'Stub': 0.002805775677612889}"
Contract Law,https://en.wikipedia.org/wiki/Contract,B,"{'B': 0.4625216693323483, 'C': 0.2654624909293276, 'FA': 0.09984450667547431, 'GA': 0.1606628205604857, 'Start': 0.00829249011946197, 'Stub': 0.0032160223829019513}"
