topic,url,predicted_class,predicted_scores
Amplified Fragment Length Polymorphism,https://en.wikipedia.org/wiki/Amplified_fragment_length_polymorphism,Start,"{'B': 0.22592733265285653, 'C': 0.361462543239492, 'FA': 0.006173747130955749, 'GA': 0.013927388194304322, 'Start': 0.38509311665880624, 'Stub': 0.00741587212358537}"
Ethanol Fermentation,https://en.wikipedia.org/wiki/Ethanol_fermentation,C,"{'B': 0.20838873359702662, 'C': 0.7297231248832889, 'FA': 0.016776120455729664, 'GA': 0.02616516906625679, 'Start': 0.016073476255688283, 'Stub': 0.002873375742009854}"
Water Purification,https://en.wikipedia.org/wiki/Water_purification,B,"{'B': 0.6820943728048339, 'C': 0.20633737808636635, 'FA': 0.0633987376533918, 'GA': 0.03687339887756051, 'Start': 0.008220480663980697, 'Stub': 0.0030756319138668465}"
Brain Waves,https://en.wikipedia.org/wiki/Neural_oscillation,B,"{'B': 0.3537130879042666, 'C': 0.08771028419652716, 'FA': 0.2535489168399499, 'GA': 0.28680802566492125, 'Start': 0.013238941463546181, 'Stub': 0.004980743930788928}"
Chemical Fertilizer,https://en.wikipedia.org/wiki/Fertilizer,GA,"{'B': 0.09151393015081545, 'C': 0.02698373740356139, 'FA': 0.3636555047111118, 'GA': 0.5048038909084496, 'Start': 0.009425597652306026, 'Stub': 0.0036173391737557947}"
Psychiatric Nursing,https://en.wikipedia.org/wiki/Mental_health_nursing,B,"{'B': 0.5371504799366214, 'C': 0.3546584481501515, 'FA': 0.04663531494712392, 'GA': 0.049096056307470264, 'Start': 0.009001825290360775, 'Stub': 0.0034578753682723315}"
Pain Threshold,https://en.wikipedia.org/wiki/Threshold_of_pain,Start,"{'B': 0.21956196564851524, 'C': 0.34265663182574285, 'FA': 0.007090565545635226, 'GA': 0.05317851395125866, 'Start': 0.3712567182934613, 'Stub': 0.006255604735386777}"
X Ray Diffraction,https://en.wikipedia.org/wiki/X-ray_diffraction,GA,"{'B': 0.21378467206450205, 'C': 0.15715584040025649, 'FA': 0.19917114315343162, 'GA': 0.41337076683285573, 'Start': 0.012261416034904585, 'Stub': 0.004256161514049651}"
Hairy Cell Leukemia,https://en.wikipedia.org/wiki/Hairy_cell_leukemia,B,"{'B': 0.4803563972556098, 'C': 0.19658597119186108, 'FA': 0.183199479133905, 'GA': 0.12247682001063782, 'Start': 0.012515833624551003, 'Stub': 0.004865498783435366}"
Dental Cement,https://en.wikipedia.org/wiki/Dental_cement,C,"{'B': 0.3223789384322744, 'C': 0.5856212590920523, 'FA': 0.010687957057606202, 'GA': 0.015040888881937541, 'Start': 0.060895993264575676, 'Stub': 0.005374963271553826}"
Freudian Theory,https://en.wikipedia.org/wiki/Freud%27s_psychoanalytic_theories,C,"{'B': 0.30993231999626336, 'C': 0.5882910432258757, 'FA': 0.033562276642259296, 'GA': 0.026174850279478502, 'Start': 0.0375830191820103, 'Stub': 0.004456490674112997}"
Family Systems Theory,https://en.wikipedia.org/wiki/Internal_Family_Systems_Model,C,"{'B': 0.2206207772438997, 'C': 0.5252257825150247, 'FA': 0.03441185539967055, 'GA': 0.04043284357916684, 'Start': 0.16886533480349725, 'Stub': 0.010443406458740853}"
Tertiary Prevention,https://en.wikipedia.org/wiki/Preventive_healthcare,B,"{'B': 0.5612776282347769, 'C': 0.20097680397306109, 'FA': 0.1232011317452591, 'GA': 0.09903155523249751, 'Start': 0.011670432245004175, 'Stub': 0.003842448569401307}"
Zeta Potential,https://en.wikipedia.org/wiki/Zeta_potential,C,"{'B': 0.38972582512520504, 'C': 0.4560331563413363, 'FA': 0.042326209773096674, 'GA': 0.08903454974328476, 'Start': 0.017626522501111432, 'Stub': 0.005253736515965864}"
Gastric Lavage,https://en.wikipedia.org/wiki/Gastric_lavage,Start,"{'B': 0.1593111643514409, 'C': 0.3277872993526334, 'FA': 0.0054659983843802044, 'GA': 0.015269374500526662, 'Start': 0.47422019498555285, 'Stub': 0.017945968425466228}"
Phytotoxin,https://en.wikipedia.org/wiki/Phytotoxin,C,"{'B': 0.2979463136244747, 'C': 0.4338471653023725, 'FA': 0.007358814754117142, 'GA': 0.06608018087409376, 'Start': 0.18606843066225714, 'Stub': 0.008699094782684626}"
Enzyme-Linked Immunosorbent Assay,https://en.wikipedia.org/wiki/ELISA,C,"{'B': 0.44906211646719996, 'C': 0.4530448333618382, 'FA': 0.03885768127295317, 'GA': 0.04560117853950411, 'Start': 0.010008151079247794, 'Stub': 0.0034260392792566595}"
Medicinal Plant,https://en.wikipedia.org/wiki/Medicinal_plants,B,"{'B': 0.5192631901127782, 'C': 0.06200392218789872, 'FA': 0.18396230521803095, 'GA': 0.22072621933768, 'Start': 0.010248103586465754, 'Stub': 0.0037962595571464164}"
Reticular Activating System,https://en.wikipedia.org/wiki/Reticular_formation,B,"{'B': 0.3598717065686733, 'C': 0.1575316012338458, 'FA': 0.2969295022929468, 'GA': 0.1656880422272078, 'Start': 0.015322654667640866, 'Stub': 0.004656493009685532}"
Horizontal Gene Transfer,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,B,"{'B': 0.7048527802765867, 'C': 0.13359934963718817, 'FA': 0.04742120581781861, 'GA': 0.09991445698564509, 'Start': 0.010748603058878614, 'Stub': 0.0034636042238827863}"
Endochondral Ossification,https://en.wikipedia.org/wiki/Endochondral_ossification,GA,"{'B': 0.19298420281070558, 'C': 0.10158994896809687, 'FA': 0.009455398636825941, 'GA': 0.6704465840639424, 'Start': 0.021135697260086416, 'Stub': 0.004388168260342882}"
Cerebral Amyloid Angiopathy,https://en.wikipedia.org/wiki/Cerebral_amyloid_angiopathy,GA,"{'B': 0.15788693001775564, 'C': 0.1858109718210327, 'FA': 0.06009831154184079, 'GA': 0.5679467729660802, 'Start': 0.023985628554963185, 'Stub': 0.004271385098327493}"
Hyperintensity,https://en.wikipedia.org/wiki/Hyperintensity,C,"{'B': 0.27949106266194057, 'C': 0.45038009035366694, 'FA': 0.00785178285690617, 'GA': 0.09769343569476024, 'Start': 0.15678510007115495, 'Stub': 0.007798528361570993}"
Enzyme,https://en.wikipedia.org/wiki/Enzyme,FA,"{'B': 0.0291602248866164, 'C': 0.013570716808149903, 'FA': 0.7554596392308425, 'GA': 0.19459192044544696, 'Start': 0.00517449895028167, 'Stub': 0.002042999678662621}"
Essential Tremor,https://en.wikipedia.org/wiki/Essential_tremor,FA,"{'B': 0.04295773675650621, 'C': 0.01729601438886652, 'FA': 0.6753111316008611, 'GA': 0.2555715860822824, 'Start': 0.0063377631241372315, 'Stub': 0.002525768047346492}"
Glycolysis,https://en.wikipedia.org/wiki/Glycolysis,B,"{'B': 0.5292994305565394, 'C': 0.18958622050190302, 'FA': 0.16566170883295353, 'GA': 0.0992540528196936, 'Start': 0.011804004058369474, 'Stub': 0.004394583230540933}"
Neuroethology,https://en.wikipedia.org/wiki/Neuroethology,C,"{'B': 0.3618095337207939, 'C': 0.540403513942225, 'FA': 0.027115152367102255, 'GA': 0.03442776044996676, 'Start': 0.0317424365299865, 'Stub': 0.004501602989925636}"
